state,county,lat,long
MO,SCOTLAND,40.4526,-92.1471
IA,MADISON,41.3307,-94.0155
NC,GASTON,35.2945,-81.1801
IA,POLK,41.6855,-93.5734
SD,HYDE,44.5474,-99.4871
ND,EMMONS,46.2851,-100.2388
OK,GRADY,35.017,-97.884
NY,STEUBEN,42.2678,-77.3838
KY,CALLOWAY,36.6211,-88.2723
WI,SHAWANO,44.7892,-88.7656
MS,TATE,34.6503,-89.9448
IL,GALLATIN,37.7628,-88.2305
AR,CRITTENDEN,35.2079,-90.3089
OH,MAHONING,41.0146,-80.7753
PA,LEBANON,40.3672,-76.4577
IN,MARTIN,38.708,-86.8031
IL,WASHINGTON,38.3522,-89.4105
IL,JEFFERSON,38.3005,-88.924
OK,BLAINE,35.8752,-98.4335
KS,GRAHAM,39.3497,-99.8833
KS,GEARY,39.0024,-96.7526
LA,WEST CARROLL,32.7885,-91.4567
IL,LIVINGSTON,40.8914,-88.5578
OK,GARFIELD,36.379,-97.7828
KS,HARPER,37.1916,-98.0755
KS,STAFFORD,38.0311,-98.7175
MD,KENT,39.2574,-76.0362
IA,CASS,41.3315,-94.9278
IA,UNION,41.0277,-94.2424
KS,SHERIDAN,39.3503,-100.4418
VA,CHARLES CITY,37.3565,-77.0613
IL,WABASH,38.4461,-87.8443
LA,WASHINGTON,30.8534,-90.0406
TN,LINCOLN,35.1405,-86.5889
TN,WILSON,36.1549,-86.2976
VA,WESTMORELAND,38.1108,-76.8052
VA,ORANGE,38.2463,-78.0134
GA,GORDON,34.5034,-84.8757
NE,LINCOLN,41.0478,-100.7452
MD,CAROLINE,38.8717,-75.8317
KY,MADISON,37.7202,-84.278
PA,BEDFORD,40.0066,-78.4902
NY,CATTARAUGUS,42.2486,-78.6789
KY,BALLARD,37.0584,-88.9992
MS,LAMAR,31.2059,-89.5087
IL,CHAMPAIGN,40.1401,-88.1991
KS,CHAUTAUQUA,37.1501,-96.2453
VA,MADISON,38.4137,-78.2792
MO,ST LOUIS,38.6407,-90.443
IN,CLINTON,40.3017,-86.4752
SD,EDMUNDS,45.4188,-99.2155
MS,SMITH,32.0177,-89.5067
MD,CECIL,39.575,-75.9384
KS,SHERMAN,39.3514,-101.72
GA,BARTOW,34.2379,-84.8405
GA,JOHNSON,32.7015,-82.6601
IL,MOULTRIE,39.6413,-88.6194
PA,MONTOUR,41.028,-76.6586
NC,LEE,35.475,-79.1716
WI,OUTAGAMIE,44.4161,-88.4649
OK,WASHITA,35.2904,-98.9923
MN,RENVILLE,44.7268,-94.9472
SD,BUFFALO,44.0763,-99.205
OH,GUERNSEY,40.0521,-81.4942
MN,BROWN,44.2421,-94.7277
KS,PAWNEE,38.1814,-99.2368
MN,CHIPPEWA,45.0223,-95.5666
GA,DOOLY,32.1572,-83.7987
